Name,Company,Role,Segment,Priority,Est Check Size,Network Path,Contact Method,Trust Level,Notes
Ben Samocha,CryptoJungle,CEO,Connector,Tier 1,$10-25K,Existing (Reuven),WhatsApp,High,EXISTING CONTACT via Reuven - START HERE
Ido Ben-Natan,Blockaid,CEO,Crypto OG,Tier 1,$25-50K,LinkedIn,LinkedIn,Low,Rising star Web3 security - NEW ANCHOR for crypto segment
Omer Goldberg,Chaos Labs,CEO,Crypto OG,Tier 1,$25-50K,Twitter/LinkedIn,Twitter,Low,DeFi risk management - young founder accessible
Gal Sagie,Hypernative,Co-founder,Crypto OG,Tier 1,$25-50K,AI x Crypto angle,LinkedIn,Low,AI x Crypto intersection - dual thesis alignment
Yaron Velner,B.Protocol,Founder,Crypto OG,Tier 1,$25-50K,DeFi community,Twitter,Low,DeFi OG active angel - credible name
Sebastian Lehrer,Collider VC,Investor,Connector,Tier 1,$10-25K,Reference his report,LinkedIn,Low,Gateway to Avishay Ovadia and Collider network
Hillel Fuld,Independent,Influencer/Angel,Connector,Tier 1,$10-25K,Twitter engagement,Twitter,Low,Amplification value - very responsive on Twitter
Shauli Rejwan,Masterkey VC,Partner,Frustrated Allocator,Tier 1,$25-50K,Event/LinkedIn,LinkedIn,Low,Sponsors Web3 Dev Underground - crypto personal interest
Michael Shaulov,Fireblocks,CEO,Crypto OG,Tier 1,$50-100K,Crypto network,Warm intro,Pending,$8B company - if accessible would be major anchor
Eli Ben-Sasson,StarkWare,Co-founder,Crypto OG,Tier 1,$50-100K,Academic/ZK network,Warm intro,Pending,$8B company - academic credibility
Avishay Ovadia,Collider VC,Founding Partner,Frustrated Allocator,Tier 2,$50-100K,Through Sebastian,Warm intro,Pending,Knows everyone in Israeli crypto - super connector
Adam Benayoun,Collider VC,Founding Partner,Frustrated Allocator,Tier 2,$25-50K,Through Avishay,Warm intro,Pending,Technical partner - follow Avishay
Gigi Levy-Weiss,NFX,General Partner,Crypto Curious Traditional,Tier 2,$50-100K,Content engagement,LinkedIn,Low,Active personal investor - needs education angle
Eden Shochat,Aleph,Partner,Frustrated Allocator,Tier 2,$50-100K,LinkedIn,LinkedIn,Low,Bold investor profile - personal capital interest
Michael Eisenberg,Aleph,Partner,Crypto Curious Traditional,Tier 2,$50-100K,Reference his blog,LinkedIn,Low,Thought leader writes about crypto - education angle
Gil Dibner,Angular Ventures,Founder/GP,Frustrated Allocator,Tier 2,$25-50K,LinkedIn,LinkedIn,Low,Solo GP makes own decisions - personal allocation
Dovi Frances,Group 11,Founder/GP,Crypto Curious Traditional,Tier 2,$50-100K,Fintech angle,LinkedIn,Low,Backed Fireblocks early - knows the space
Rona Segev,TLV Partners,Partner,Frustrated Allocator,Tier 2,$25-50K,Fintech angle,LinkedIn,Low,Fintech focus - adjacent interest
Eze Vidra,Remagine Ventures,Founder,Connector,Tier 2,$25-50K,Podcast appearance,His podcast,Low,Campus TLV builder content creator - amplification
Oren Zeev,Zeev Ventures,Founder,Crypto Curious Traditional,Tier 2,$100-200K,Warm intro required,Warm intro,Pending,Solo GP contrarian bets - needs trust path
Itay Malinger,Curv/PayPal,Co-founder,Exit Millionaire,Tier 3,$50-100K,Crypto network,Warm intro,Pending,~$200M exit MPC expert - looking to deploy
Nimrod Lehavi,Simplex/Nuvei,Co-founder,Exit Millionaire,Tier 3,$50-100K,Fintech angle,Warm intro,Pending,~$250M exit payments native
Lior Lamesh,GK8/Galaxy,Co-founder,Exit Millionaire,Tier 3,$25-75K,Galaxy network,Warm intro,Pending,~$115M exit custody expert
Tomer Bar-Zeev,ironSource/Unity,Co-founder,Exit Millionaire,Tier 3,$50-200K,Angel networks,Warm intro,Pending,$4.4B exit known angel - significant capacity
Yehuda Lindell,Unbound/Coinbase,Co-founder,Crypto Curious Traditional,Tier 3,$25-50K,Academic network,Academic intro,Pending,MPC academic Bar-Ilan professor
Shlomo Kramer,Check Point,Founder,Exit Millionaire,Tier 3,$100-500K,Warm intro required,Warm intro,Pending,Prolific investor cyber godfather - needs sponsor
Eyal Hertzog,Bancor,Co-founder,Crypto OG,Tier 3,$25-50K,DeFi community,Twitter,Low,DeFi OG AMM pioneer
Arik Shtilman,Rapyd,Co-founder/CEO,Exit Millionaire,Tier 3,$100-500K,Warm intro required,Warm intro,Pending,Fintech billionaire - major upside if accessible
Ofer Ben-Noon,Talon/Palo Alto,Founder,Exit Millionaire,Tier 3,$50-100K,Cyber community,Warm intro,Pending,$625M exit security angel
Guy Podjarny,Snyk,Co-founder,Exit Millionaire,Tier 3,$50-100K,Developer community,LinkedIn,Low,DevSecOps $8.5B valuation
HIDDEN TARGETS - REAL ESTATE/DIAMOND,,,,,,,,,
Idan Ofer,Ofer Family Office,Principal,Crypto Curious Traditional,Tier 3,$200K+,Via tech advisors,Warm intro,Pending,$10B+ family - innovation interest through advisors
Azrieli Foundation,Azrieli Group,Foundation,Crypto Curious Traditional,Tier 3,$100K+,Foundation approach,Warm intro,Pending,$4-6B family - innovation grants angle
HIDDEN TARGETS - SUPER CONNECTORS,,,,,,,,,
Tech Lawyer Partner,Herzog Fox Neeman,Partner,Connector,Tier 2,$10-25K,Client referral,Warm intro,Pending,Gatekeeper to HNWI families
Tech Lawyer Partner,Goldfarb Seligman,Partner,Connector,Tier 2,$10-25K,Client referral,Warm intro,Pending,Real estate family connections
Big 4 Partner,PwC Israel,Partner,Connector,Tier 2,$10-25K,Value exchange,Warm intro,Pending,Knows who has liquidity events
Family Office Advisor,Independent,Advisor,Connector,Tier 2,$10-25K,Through clients,Warm intro,Pending,Manages 5-15 family relationships
DIASPORA BRIDGE,,,,,,,,,
US-Based Israeli,NYC,Founder/Investor,Exit Millionaire,Tier 2,Variable,US outreach,LinkedIn,Pending,Bridge to Israeli families - easier access
UK-Based Israeli,London,Investor,Crypto Curious Traditional,Tier 2,Variable,UK outreach,LinkedIn,Pending,Conservative but wealthy - real estate overlap
