Name,Events,Events organized,ICP-houses events,Instagram,Instagram followers,Luma profile,Total signups,Type,Website,X,X followers
Habibi Hub,"Bitcoin Hub Brussels. Biggest Bitcoin Event In Brussels During EthCC. (https://www.notion.so/Bitcoin-Hub-Brussels-Biggest-Bitcoin-Event-In-Brussels-During-EthCC-2d260b6e8d188074a1dfdd4f1ff6ef86?pvs=21), Bitcoin Hub Singapore. Biggest Bitcoin Event In Singapore During Token 2049 (https://www.notion.so/Bitcoin-Hub-Singapore-Biggest-Bitcoin-Event-In-Singapore-During-Token-2049-2d760b6e8d1880aa96acd9c77bbdd95e?pvs=21)",18,2,https://www.instagram.com/bitcoin___hub,"44,300",https://luma.com/user/qbein,3720,Community,https://bitcoinhub.asia/,https://x.com/habibi_hub,"2,896"
Cointelegraph Accelerator,"VC<>Startup Connect: Brussels Edition (https://www.notion.so/VC-Startup-Connect-Brussels-Edition-2d260b6e8d1880f9a6bfe8f90031352f?pvs=21), KOLs Gathering: Cookie3 (https://www.notion.so/KOLs-Gathering-Cookie3-2d260b6e8d1880b18069e324a0ea20f7?pvs=21), VC<>Startup Connect: Singapore Edition (https://www.notion.so/VC-Startup-Connect-Singapore-Edition-2d760b6e8d18803cb246e74ef4160f1a?pvs=21), KOLs Gathering: Singapore Edition (https://www.notion.so/KOLs-Gathering-Singapore-Edition-2d760b6e8d1880a19199f8280e8a8a29?pvs=21), KOLs Gathering: Seoul Edition (https://www.notion.so/KOLs-Gathering-Seoul-Edition-2d760b6e8d1880e6bb89e0504e5daef1?pvs=21)",,5,,,,3473,Accelerator,,,
NewTribe Capital,"VC<>Startup Connect: Brussels Edition (https://www.notion.so/VC-Startup-Connect-Brussels-Edition-2d260b6e8d1880f9a6bfe8f90031352f?pvs=21), KOLs Gathering: Cookie3 (https://www.notion.so/KOLs-Gathering-Cookie3-2d260b6e8d1880b18069e324a0ea20f7?pvs=21), VC<>Startup Connect: Singapore Edition (https://www.notion.so/VC-Startup-Connect-Singapore-Edition-2d760b6e8d18803cb246e74ef4160f1a?pvs=21), KOLs Gathering: Singapore Edition (https://www.notion.so/KOLs-Gathering-Singapore-Edition-2d760b6e8d1880a19199f8280e8a8a29?pvs=21), KOLs Gathering: Seoul Edition (https://www.notion.so/KOLs-Gathering-Seoul-Edition-2d760b6e8d1880e6bb89e0504e5daef1?pvs=21)",22,5,https://www.instagram.com/NewTribe_Capital,811,https://luma.com/user/newtribecap,3473,VC,https://newtribe.capital/,https://x.com/NewTribeCap,"4,921"
Cookie3,KOLs Gathering: Cookie3 (https://www.notion.so/KOLs-Gathering-Cookie3-2d260b6e8d1880b18069e324a0ea20f7?pvs=21),,1,,,https://luma.com/user/usr-10U88YFRzkY8vEj,0,Startup,,,
VNTR,VNTR Investors Roundtable Brussels (https://www.notion.so/VNTR-Investors-Roundtable-Brussels-2d260b6e8d188004b87bec1af65be294?pvs=21),19,1,https://www.instagram.com/vntrcapital,"1,624",https://luma.com/vntrcapital?k=c,41,Community,https://www.vntr.vc/,https://x.com/vntrcapital,450
CryptoMondays,CryptoMondays Brussels - The Promise & Challenges of Decentralized AI (AI3) (https://www.notion.so/CryptoMondays-Brussels-The-Promise-Challenges-of-Decentralized-AI-AI3-2d260b6e8d1880dd8257ca95746956b8?pvs=21),,1,,,,370,Community,,,
TAU labs,Degen Tokenomics and Drinks with TAU Labs (https://www.notion.so/Degen-Tokenomics-and-Drinks-with-TAU-Labs-2d260b6e8d1880cd87bdf5f59509ae49?pvs=21),,1,,,,1102,Service provider,,,
Nest Wallet,Meme Mixer by Nest Wallet @ Devcon (https://www.notion.so/Meme-Mixer-by-Nest-Wallet-Devcon-2d260b6e8d1880759b30f5c21d61953b?pvs=21),2,1,,,https://luma.com/user/NestWallet,0,Startup,,https://x.com/nestwalletxyz,"23,000"
TaskOn,Community Frens - Bangkok (https://www.notion.so/Community-Frens-Bangkok-2d260b6e8d1880bbbc67dbf6c5109b11?pvs=21),5,1,,,https://luma.com/taskonxyz?k=c&period=past,0,Community,,https://x.com/taskonxyz,"753,500"
"LFG ",LFG: Unlocking The Vision (https://www.notion.so/LFG-Unlocking-The-Vision-2d260b6e8d1880b9b64fcfb783f277ec?pvs=21),1,1,,,https://luma.com/calendar/cal-FKu6rl97NUulCsn?period=past,817,Service provider,https://lfg.inc/,https://x.com/LFGincorporated,"5,320"
Pcventure,Venture Capital Community StartUp Pitch Competition (https://www.notion.so/Venture-Capital-Community-StartUp-Pitch-Competition-2d260b6e8d1880e08255f9864b1fff43?pvs=21),18,1,,,,1394,Community,,https://x.com/pcventure,"2,838"
Museigen.io,Web3 Swap Debate (https://www.notion.so/Web3-Swap-Debate-2d260b6e8d18809485b2d26c9b8483e1?pvs=21),,1,,,https://luma.com/museigen?k=c,914,Service provider,,https://x.com/museigen_io,784
H.E.R. DAO,COPE-FREE ZONE (https://www.notion.so/COPE-FREE-ZONE-2d260b6e8d188079be45f70982f9edd8?pvs=21),,1,,,https://luma.com/user/usr-tSgIewpKpM1ig81,783,Community,,https://x.com/_HerDAO,"9,816"
Nakamoto hub,Bitcoin Roundtable @ SG (https://www.notion.so/Bitcoin-Roundtable-SG-2d760b6e8d188090bb8fdaf303b3a2be?pvs=21),,1,,,,952,Community,,,
Omnity Network,RUNES 2049 (https://www.notion.so/RUNES-2049-2d760b6e8d1880c1bc67f4ddd009acd8?pvs=21),5,1,,,https://luma.com/user/Omnity,1812,Startup,https://www.omnity.network/,https://x.com/OmnityNetwork,"93,200"
RunesCC,RUNES 2049 (https://www.notion.so/RUNES-2049-2d760b6e8d1880c1bc67f4ddd009acd8?pvs=21),3,1,,,https://luma.com/user/RunesCC,1812,Startup,,https://x.com/RunesCC,"9,545"
BitAngels,AI 2049: Chain Reaction (https://www.notion.so/AI-2049-Chain-Reaction-2d760b6e8d1880b6a088c5ad29bafc46?pvs=21),54,1,https://www.instagram.com/bitangels.network,25,https://luma.com/user/BitAngels,0,Community,https://bitangels.network/,https://x.com/bitangels,"4,638"
HELLO Labs,KillerWhales Live @ Chain Fusion Hub (https://www.notion.so/KillerWhales-Live-Chain-Fusion-Hub-2d760b6e8d18805b8b9be633b7e7c10e?pvs=21),13,1,,,https://luma.com/user/Hellolabs,614,Accelerator,https://www.hello.one/,https://x.com/Thehellolabs,"78,200"
Supermoon,KOLs Gathering: Singapore Edition (https://www.notion.so/KOLs-Gathering-Singapore-Edition-2d760b6e8d1880a19199f8280e8a8a29?pvs=21),88,1,,,https://luma.com/user/supermoon,614,Community,https://supermoongroup.com/,https://x.com/supermoonxyz,"8,680"
ABCDE Capital,KOLs Gathering: Singapore Edition (https://www.notion.so/KOLs-Gathering-Singapore-Edition-2d760b6e8d1880a19199f8280e8a8a29?pvs=21),18,1,,,https://luma.com/user/usr-wdB1pMAeBDbM0Tx,614,VC,http://abcde.com/,https://x.com/ABCDElabs,"15,500"
IOV2055,Chain Innovation Malaysia by IOV2055 (https://www.notion.so/Chain-Innovation-Malaysia-by-IOV2055-2d760b6e8d1880cd8976e287b4d4c894?pvs=21),14,1,https://www.instagram.com/internetofvalues2055,374,https://luma.com/user/soniasran,703,Community,https://iov2055.com/,https://x.com/iov2055,554
Global Fintech Institute,AI Web3 City Luncheon (https://www.notion.so/AI-Web3-City-Luncheon-2d760b6e8d1880eca7a2e25b1bdfcc17?pvs=21),,1,https://www.instagram.com/globalfintechinstitute/,0,,0,Community,https://globalfintechinstitute.org/,https://x.com/GFI_charter,"8,236"
QuillAudits,QuillAudits x ICP Chainfusion Hackathon (https://www.notion.so/QuillAudits-x-ICP-Chainfusion-Hackathon-2d760b6e8d1880cb9d01f3962b884821?pvs=21),52,1,,,https://luma.com/user/QuillAudits_ai,0,Startup,https://www.quillaudits.com/,https://x.com/quillaudits_ai,"14,300"
Aethir,DeAI & Web3 Media Unconf (https://www.notion.so/DeAI-Web3-Media-Unconf-2d760b6e8d188097a7cfc92ccced02fe?pvs=21),40,1,,,https://luma.com/user/AethirCloud,573,Startup,https://aethir.com/,https://x.com/AethirCloud,"728,000"